Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion,Month Name,Hour(order),diff order & delivery,Hour(delivery), Price (INR) , Revnue ,Day name(Orderdate)
5,C078,58,2,11-02-2023,19:44:48,18-02-2023,11:08:52,Rajkot,Valentine's Day,February,19,7,11,"? 1,492.00","? 2,984.00",Saturday
56,C095,58,5,08-02-2023,12:11:48,13-02-2023,18:51:59,Danapur,Valentine's Day,February,12,5,18,"? 1,492.00","? 7,460.00",Wednesday
37,C096,19,5,10-02-2023,11:01:04,15-02-2023,21:19:36,Katni,Valentine's Day,February,11,5,21,"? 1,234.00","? 6,170.00",Friday
20,C011,52,1,11-02-2023,14:36:57,14-02-2023,01:34:16,Madurai,Valentine's Day,February,14,3,1,? 236.00,? 236.00,Saturday
43,C046,49,3,12-02-2023,22:31:16,16-02-2023,02:47:47,Sambalpur,Valentine's Day,February,22,4,2,? 903.00,"? 2,709.00",Sunday
78,C062,11,2,04-02-2023,13:00:09,08-02-2023,20:31:15,Pallavaram,Valentine's Day,February,13,4,20,"? 1,096.00","? 2,192.00",Saturday
87,C055,2,5,04-02-2023,13:17:21,11-02-2023,23:06:36,Malda,Valentine's Day,February,13,7,23,? 441.00,"? 2,205.00",Saturday
89,C060,3,5,12-02-2023,22:56:52,13-02-2023,14:41:41,Aurangabad,Valentine's Day,February,22,1,14,"? 1,534.00","? 7,670.00",Sunday
121,C048,33,3,05-02-2023,02:18:55,09-02-2023,07:29:31,Guntur,Valentine's Day,February,2,4,7,? 314.00,? 942.00,Sunday
126,C040,19,5,04-02-2023,02:28:24,13-02-2023,13:16:38,Dharmavaram,Valentine's Day,February,2,9,13,"? 1,234.00","? 6,170.00",Saturday
131,C078,3,5,04-02-2023,20:30:50,11-02-2023,08:29:03,Satara,Valentine's Day,February,20,7,8,"? 1,534.00","? 7,670.00",Saturday
132,C045,49,4,04-02-2023,23:23:41,13-02-2023,19:55:48,Thoothukudi,Valentine's Day,February,23,9,19,? 903.00,"? 3,612.00",Saturday
146,C030,52,5,13-02-2023,18:23:55,16-02-2023,04:07:37,Vijayawada,Valentine's Day,February,18,3,4,? 236.00,"? 1,180.00",Monday
161,C054,58,3,13-02-2023,03:08:06,14-02-2023,23:12:01,Karaikudi,Valentine's Day,February,3,1,23,"? 1,492.00","? 4,476.00",Monday
169,C051,3,2,06-02-2023,10:28:57,16-02-2023,01:26:19,Shivpuri,Valentine's Day,February,10,10,1,"? 1,534.00","? 3,068.00",Monday
173,C072,58,2,07-02-2023,23:15:37,13-02-2023,01:51:53,Deoghar,Valentine's Day,February,23,6,1,"? 1,492.00","? 2,984.00",Tuesday
182,C070,2,1,08-02-2023,23:21:30,15-02-2023,06:07:33,Chennai,Valentine's Day,February,23,7,6,? 441.00,? 441.00,Wednesday
184,C027,52,3,11-02-2023,21:34:53,20-02-2023,05:00:29,Dharmavaram,Valentine's Day,February,21,9,5,? 236.00,? 708.00,Saturday
187,C008,49,5,11-02-2023,21:10:41,16-02-2023,09:34:09,Anantapur,Valentine's Day,February,21,5,9,? 903.00,"? 4,515.00",Saturday
194,C030,58,4,08-02-2023,11:41:29,09-02-2023,04:54:30,Pondicherry,Valentine's Day,February,11,1,4,"? 1,492.00","? 5,968.00",Wednesday
206,C099,68,3,11-02-2023,22:12:16,13-02-2023,12:42:01,Ulhasnagar,Valentine's Day,February,22,2,12,? 597.00,"? 1,791.00",Saturday
223,C051,49,2,05-02-2023,08:44:25,13-02-2023,10:17:59,Bhalswa Jahangir Pur,Valentine's Day,February,8,8,10,? 903.00,"? 1,806.00",Sunday
